,Anion Summary Report,,,,,,,
,,,,,,,,
No. ,Name ,Dilution ,Time ,Area ,Rel.Area ,Height ,Rel.Height ,Amount 
,,,min,µS*min,%,µS,%,ppm
,,,CD_1_Total,CD_1_Total,CD_1_Total,CD_1_Total,CD_1_Total,CD_1_Total
,,,Fluoride,Fluoride,Fluoride,Fluoride,Fluoride,Fluoride
6,400x,1.0000,4.399  ,0.9217  ,38.46,8.04  ,47.38,0.0548  
7,200x,1.0000,4.403  ,1.8714  ,37.75,16.71  ,49.41,0.3506  
8,20x,1.0000,4.407  ,18.2181  ,44.42,149.45  ,52.86,5.4432  
9,5x,1.0000,4.419  ,64.6011  ,44.85,487.56  ,50.94,19.8930  
10,10 ppm Anion  Std,1.0000,4.407  ,34.9558  ,45.29,278.10  ,52.24,10.6575  
11,062,1.0000,4.386  ,0.2234  ,26.06,0.80  ,38.99,n.a.
12,055,1.0000,4.415  ,0.9362  ,0.67,7.52  ,0.94,0.0593  
13,043,1.0000,4.399  ,0.1228  ,0.15,1.22  ,0.25,n.a.
14,10 ppm Anion  Std,1.0000,4.411  ,34.2467  ,44.87,271.14  ,51.45,10.4366  
15,10 ppm Anion  Std,1.0000,4.419  ,34.1981  ,44.91,271.13  ,51.46,10.4215  
16,1,1.0000,4.387  ,0.2043  ,0.14,0.83  ,0.10,n.a.
17,2,1.0000,4.399  ,0.2271  ,0.17,0.91  ,0.12,n.a.
18,3,1.0000,4.374  ,0.2052  ,0.15,0.78  ,0.10,n.a.
19,4,1.0000,4.387  ,0.2470  ,0.17,1.04  ,0.13,n.a.
20,5,1.0000,4.391  ,0.2264  ,0.16,0.88  ,0.11,n.a.
21,6,1.0000,4.308  ,0.1597  ,4.75,0.61  ,3.13,n.a.
22,7,1.0000,4.320  ,0.1591  ,4.36,0.60  ,2.82,n.a.
23,8,1.0000,4.303  ,0.1524  ,3.72,0.60  ,2.75,n.a.
24,9,1.0000,4.307  ,0.1673  ,4.29,0.60  ,2.62,n.a.
25,10,1.0000,4.316  ,0.1571  ,4.23,0.61  ,3.01,n.a.
26,11,1.0000,4.395  ,0.1925  ,0.27,0.84  ,0.19,n.a.
27,12,1.0000,4.395  ,0.2145  ,0.33,0.94  ,0.23,n.a.
28,13,1.0000,4.408  ,0.2242  ,0.41,0.89  ,0.26,n.a.
29,14,1.0000,4.408  ,0.2331  ,0.46,0.94  ,0.30,n.a.
30,15,1.0000,4.403  ,0.2438  ,0.49,1.16  ,0.37,n.a.
31,16,1.0000,4.387  ,0.2009  ,13.94,0.71  ,14.67,n.a.
32,17,1.0000,4.387  ,0.2049  ,11.48,0.84  ,14.91,n.a.
33,18,1.0000,4.349  ,0.1795  ,10.96,0.67  ,11.74,n.a.
34,19,1.0000,4.332  ,0.1549  ,5.35,0.62  ,4.79,n.a.
35,20,1.0000,4.383  ,0.1752  ,7.22,0.68  ,7.04,n.a.
36,21,1.0000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
37,A-5x,1.0000,4.416  ,65.0514  ,44.42,490.12  ,50.64,20.0333  
38,MQ Blank 1,1.0000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
39,22,1.0000,4.391  ,0.5005  ,0.33,2.76  ,0.32,n.a.
40,23,1.0000,4.403  ,0.2767  ,0.18,1.28  ,0.15,n.a.
41,24,1.0000,4.403  ,0.5567  ,0.36,3.18  ,0.37,n.a.
42,25,1.0000,4.399  ,0.3637  ,0.24,2.07  ,0.24,n.a.
43,26,1.0000,4.399  ,0.4781  ,0.32,2.60  ,0.30,n.a.
44,27,1.0000,4.316  ,0.1507  ,4.61,0.60  ,3.23,n.a.
45,28,1.0000,4.312  ,0.1677  ,5.22,0.61  ,3.35,n.a.
46,29,1.0000,4.312  ,0.1503  ,4.34,0.61  ,3.01,n.a.
47,30,1.0000,4.312  ,0.1698  ,4.10,0.62  ,2.79,n.a.
48,31,1.0000,4.316  ,0.1703  ,4.21,0.62  ,3.06,n.a.
49,32,1.0000,4.408  ,0.3269  ,0.35,1.68  ,0.30,n.a.
50,33,1.0000,4.403  ,0.3846  ,0.48,2.27  ,0.46,n.a.
51,34,1.0000,4.408  ,1.2517  ,1.63,9.75  ,2.05,0.1576  
52,35,1.0000,4.424  ,0.7417  ,1.40,6.00  ,1.78,n.a.
53,36,1.0000,4.416  ,1.0644  ,1.81,8.30  ,2.24,0.0992  
54,37,1.0000,4.366  ,0.1798  ,4.43,0.69  ,3.46,n.a.
55,5 ppm F/10 ppm Anion  Std,1.0000,4.412  ,34.2346  ,45.11,273.20  ,51.68,10.4328  
56,38,1.0000,4.366  ,0.1621  ,4.54,0.62  ,3.51,n.a.
57,39,1.0000,4.387  ,0.2195  ,12.13,0.97  ,13.24,n.a.
58,40,1.0000,4.395  ,0.2814  ,14.96,1.48  ,19.34,n.a.
59,41,1.0000,4.395  ,0.0852  ,5.78,0.67  ,9.93,n.a.
60,42,1.0000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
